Algorithm,Plaintext,Ciphertext,Key
AES,e4c70c387bbae483a403e879314a4fedcf1f50,7C 49 1E 0E 6B CF 34 BE 60 E1 B9 0B 74 DB 27 2E 19 6B 7A C8 5E 1C DE 81 D5 48 5A 9F 6D 60 76 8D 59 A2 26 3D BB ED 35 66 87 28 C2 4C EF 71 A2 43 E2 23 1F,bcb1727657cc7389b82595c35b472178
3DES,e4c70c387bbae483a403e879314a4fedcf1f50,7F 2A 8F 83 78 5D 37 81 26 A5 79 CA E3 84 00 BD A0 33 C3 84 43 05 35 EC DD 59 98 63 D3 A9 06 18 AD CB 47 82 34 9C BF 04 14 D5 47,7a2cae2c9bd3979e9704b9aead4ae3b054c82925864c8516
CAST5,e4c70c387bbae483a403e879314a4fedcf1f50,77 52 F1 68 7B 9C E7 86 8C 4A D4 D1 96 2F 0C 5D DE FE 4F 50 1F 55 C9 C7 25 61 E4 68 27 ED 2F 53 11 A7 E0 25 D3 6B 1B 67 03 05 B6,25d25826e05825a62595d54e79a0e568
Blowfish,e4c70c387bbae483a403e879314a4fedcf1f50,EC D1 7E F5 8A 8B 96 0B D5 B4 AE 6C FA F0 31 F4 60 52 D7 A2 E9 6A C7 44 F1 DA 65 17 61 9A C1 F6 1A 01 37 85 48 0F 33 9B 98 86 28,36d9acc0e8790ead8a9a0292ed1b231b
ChaCha20,e4c70c387bbae483a403e879314a4fedcf1f50,93 EB 11 8B 06 C9 8F 9A EA A6 6F 1E 0E B3 78 F6 B7 8B D0 42 BA 17 84 A4 B2 A9 3A,cdf63f45b519d86f6bb8e77220ef64e29ed4788a36ece2b847ad851cc664932f
RC4,e4c70c387bbae483a403e879314a4fedcf1f50,65 21 05 84 9E 92 A1 C4 CC 3C C5 75 62 C3 91 98 71 C3 BC,8953e9dc5d14a504c092d446982f2588
AES,e8e5dd77f9d59ec01ced78d81d13f8d6e9375d585729a2288ff4e3a0562695,03 98 E4 0E 08 EB 03 22 4F 5F D6 51 F9 5D D7 F3 87 67 67 84 2A E8 8A D5 67 41 68 B5 74 0B 15 2A 3D E4 50 CA B1 56 BE E9 22 F4 BF 19 78 40 A0 89 B0 1C D2 09 32 42 F6 3F 68 6C D8 D1 C4 4B FF,e2177d62a1adc90a7e0ae40e6078a6dc
3DES,e8e5dd77f9d59ec01ced78d81d13f8d6e9375d585729a2288ff4e3a0562695,DE D7 3E 02 6A 61 D2 73 4B 76 DA A2 0E 6B CA 05 39 FB 8E 7A 1D 4A F9 99 77 C2 A4 56 95 E1 3C E0 53 A2 2E 7B 5B 6D 07 AE F7 C3 8D 30 15 7F 57 A6 4D D4 5E 7E F6 1A 9F,6792f113dcfb6e168a8ac1aea7e05b40208f3207d68a802f
CAST5,e8e5dd77f9d59ec01ced78d81d13f8d6e9375d585729a2288ff4e3a0562695,2D EF 35 96 9B 48 9C 58 CB E9 C0 D4 93 CC 51 6F 0B C8 EC 75 7F 8E 75 F2 92 AA 3D D5 D4 FA D7 A6 63 2C 4E E3 E0 86 9E 80 0D 0F 3F 3B DE 98 A7 29 BF C7 24 DA 91 EC A9,d1b6506faca0ae60803c3b3a2b0ce065
Blowfish,e8e5dd77f9d59ec01ced78d81d13f8d6e9375d585729a2288ff4e3a0562695,7D 08 D1 08 AE 4B F1 C0 4E FA 50 58 65 86 2C 6B 38 4D A3 8C B0 72 7A 5A 63 3C 54 91 15 CD 63 96 46 AA 56 9A CA 9C 7F 71 C3 F2 61 0B 4A BE E3 ED CD 78 65 FB 8D AC 95,f6d2489d1e26427fe487716d783bf777
ChaCha20,e8e5dd77f9d59ec01ced78d81d13f8d6e9375d585729a2288ff4e3a0562695,61 BC 0A CE 19 68 BA 9B 8E E0 11 F6 BC 26 C4 55 BF BC FA 40 E6 06 06 FF 87 4D DA 84 33 C2 BC 1C 79 00 55 40 C5 72 90,5fe9b34290c7a0c0291a222522c6a0c32b8709f267548f4d67fbdea313926794
RC4,e8e5dd77f9d59ec01ced78d81d13f8d6e9375d585729a2288ff4e3a0562695,FC D0 92 0D AF 12 EA 38 2F FC E0 09 5D 7E 15 06 BA F1 F7 42 E3 4A 71 0B 15 33 F0 83 13 B5 94,b498fa8ee33d5cc5b9a8a227dfc427c8
AES,ff27d1204417e0a3179f24597cc45ba944,07 9C E9 E4 C8 8C 2C 19 A2 89 B7 54 86 BB 7E C1 29 70 59 DC 0D 4F F8 97 AF 09 B8 E4 67 CF 81 F5 28 9A 48 30 F9 5E F8 C8 68 1A CF 1E 5C CB DE 9C 2B,1033dea928085244d9def232afc2730b
3DES,ff27d1204417e0a3179f24597cc45ba944,3C D6 AD 45 B6 7B 52 21 21 2B 75 A8 8E 04 92 D5 B1 6F FA FC 8B 7B 50 30 59 90 EF 28 1F D8 07 7C D1 1B 7F 20 E2 6C 5A 3F EF,b56b0e8fe5984a6779029dd089a78cbf5798fee0e657df7f
CAST5,ff27d1204417e0a3179f24597cc45ba944,08 47 89 49 31 CD 9B 86 E2 F1 89 AD 1E C4 7B 17 07 C7 09 96 D5 28 63 D6 44 8A 3C DB E5 DC B3 88 33 56 33 DD CD AD 57 31 F1,ef7483c3b4fb4fa22d71174510561a55
Blowfish,ff27d1204417e0a3179f24597cc45ba944,61 DC C4 C1 03 E4 7B 83 83 09 C1 75 02 94 8F 7B 01 7F 91 F7 E1 AA E0 D3 9D 9C 7C FC 54 6F 73 72 EE C5 F3 06 91 26 AF FC BE,1d2a0efb7bb6a6d0a2621953a910d6aa
ChaCha20,ff27d1204417e0a3179f24597cc45ba944,42 24 7F 97 32 49 13 E7 8A 0A 07 DA EE E9 31 03 8E A0 03 88 0A 8B 7E 9A 3D,103f037471c9b81fd733d26d959e370009799a70a0b3f5c7b6499c1c48f211fc
RC4,ff27d1204417e0a3179f24597cc45ba944,35 AA 78 CA D1 67 B9 4A 13 35 6F BB 9F 0E 24 68 FC,5833d997a8eef777908fe64ca330d4c0
AES,dc305744f8138566ba5bf7966ce3d56a999969c0498dc7d2358fd25383c2,64 B9 39 13 31 91 91 FF E1 21 4E 74 1E 64 1F B3 0C 9C 44 7F 03 39 BB A8 45 DA EA 74 D9 04 EB 79 2F 03 28 1D A4 E3 3B B1 34 CA B2 C8 7A 2A 96 57 93 CD 32 0A 3F 2B 00 3D 5E E8 DB 51 88 0A,319c058af3acd9e2b1d1e380b05b6fea
3DES,dc305744f8138566ba5bf7966ce3d56a999969c0498dc7d2358fd25383c2,CA 22 58 54 29 CC 30 5A 4D C5 4E 8B 38 92 7B 76 E2 36 9D 1B EB 52 45 CA E6 11 38 06 01 29 53 8E 2E EB 09 DB CC 57 23 5A 66 11 C9 38 63 81 D8 22 94 5E 75 69 49 80,f8bf3e4aa21645e3c17a621973325291f21cd9da5edcbc52
CAST5,dc305744f8138566ba5bf7966ce3d56a999969c0498dc7d2358fd25383c2,16 98 A1 E1 47 FC 86 89 81 96 E4 FC BE 1E 50 59 7F A1 D3 4F 78 15 8D A4 D2 67 AF F4 D0 6A D6 96 A5 C7 BD 44 8C 92 71 1D AD 4E 96 90 E3 F7 5C 8A 5F 6A F4 38 16 FC,e2d39a618e5bfcd7be0ebbe610dd397a
Blowfish,dc305744f8138566ba5bf7966ce3d56a999969c0498dc7d2358fd25383c2,AC 30 89 7D 4F 52 77 07 92 24 C0 70 39 B2 BA E7 6D 99 7E 0D 0B DE 17 12 43 7B A9 5A 74 47 1B 17 FB 5E AD 12 46 B7 A8 36 E6 B9 83 DD 30 39 F5 0E 9C 05 CB 0E CE 62,46c22ea8454b3c1cad06efef0beb3466
ChaCha20,dc305744f8138566ba5bf7966ce3d56a999969c0498dc7d2358fd25383c2,8F 38 4F 75 2C F7 6B 3D 7B 6F 45 85 35 54 DB 9D C2 02 FF 32 4F B0 21 91 16 C7 7E 90 2D 0E 15 1F E5 CC F9 7F 94 4C,1edf3f0e4fc32770957fc194d37df303aa8e6bd18b65d8313b408b41e2f2ab89
RC4,dc305744f8138566ba5bf7966ce3d56a999969c0498dc7d2358fd25383c2,36 E6 89 DF 71 4B E1 7E D4 45 32 A9 78 CE F7 BA 50 C7 AC 4F AB 54 A6 1B FB E6 28 07 E9 60,4cf8ed0b6d14ec8011dd52e6f9be6087
AES,15307dbfaa1c1e70d4e4837e471b439105ad3a7fd9fc40b752af,82 96 18 A1 F3 BD FA 68 D0 E6 49 66 8D EB 07 AB 9F 21 AF 90 52 7F E9 53 45 FF 11 A8 15 11 C8 0F 9F 86 47 06 AD 3B DF 41 9A 1F 66 29 0B 70 BA 12 C6 8A 11 24 95 27 E7 28 0F 0F,39ae162fc32bdde5174ed071ec9948f1
3DES,15307dbfaa1c1e70d4e4837e471b439105ad3a7fd9fc40b752af,D8 B9 38 0B 14 A8 B6 D0 29 2D C5 18 B4 F5 2A 40 64 22 36 31 02 D2 BA E2 DE 65 EF 58 42 58 71 38 9E 76 81 7E FB 0C 4F 30 67 3B 72 8E D1 88 2E E0 FA AA,62945e9246e5ad546b68c785f10879ceae5480ae2fc8ef51
