Algorithm,Plaintext,Ciphertext,Key
Columnar Transposition,0a7166081e9daebc5741156c78473ef3,18 DC 1C 73 A6 EE 75 8E 06 1A 51 73 70 9B 46 4F,"['K', 'E', 'Y', '1']"
Columnar Transposition,0a7166081e9daebc5741156c78473ef3,C3 EE A3 BF 8C 65 61 06 11 A7 05 74 D7 E8 17 94,"['K', 'E', 'Y', '2']"
Scytale,0a7166081e9daebc5741156c78473ef3,06 1A 51 73 A6 EE 75 8E 70 9B 46 4F 18 DC 1C 73,4
Columnar Transposition,e220a6486bca90a3f4728e1810b3e37d,08 A3 28 3D 26 B0 4E 03 EA 69 F8 1E 24 CA 71 B7,"['K', 'E', 'Y', '1']"
Columnar Transposition,e220a6486bca90a3f4728e1810b3e37d,3D 03 9E A7 88 6E A8 41 02 24 EF 27 A3 B0 61 CB,"['K', 'E', 'Y', '2']"
Scytale,e220a6486bca90a3f4728e1810b3e37d,EA 69 F8 1E 26 B0 4E 03 24 CA 71 B7 08 A3 28 3D,4
Columnar Transposition,0d1a11f2f92f460b9eb571e110a7b8fd,A2 FB 51 7D D1 96 E1 08 01 F4 97 1B 1F 20 BE AF,"['K', 'E', 'Y', '1']"
Columnar Transposition,0d1a11f2f92f460b9eb571e110a7b8fd,BD 68 4B 0F 21 11 17 FE A5 DE 09 1B F7 90 F1 2A,"['K', 'E', 'Y', '2']"
Scytale,0d1a11f2f92f460b9eb571e110a7b8fd,01 F4 97 1B D1 96 E1 08 1F 20 BE AF A2 FB 51 7D,4
Columnar Transposition,679fc701481764f6ec05396e97af58ae,F1 76 5E FE 77 84 C9 78 6C 46 E3 95 90 1F 06 AA,"['K', 'E', 'Y', '1']"
Columnar Transposition,679fc701481764f6ec05396e97af58ae,6E 48 65 FA 1E 79 C3 06 F5 7C 6E 90 7F 87 49 1A,"['K', 'E', 'Y', '2']"
Scytale,679fc701481764f6ec05396e97af58ae,6C 46 E3 95 77 84 C9 78 90 1F 06 AA F1 76 5E FE,4
Columnar Transposition,28db212a70bbf5a3d31cac43bd8710a9,BA B3 C3 79 81 05 3C D0 22 7F DA B1 D2 BA 14 8A,"['K', 'E', 'Y', '1']"
Columnar Transposition,28db212a70bbf5a3d31cac43bd8710a9,39 50 F1 AA A3 1C 2A 24 BC 83 2D D1 B7 0D 7B B8,"['K', 'E', 'Y', '2']"
Scytale,28db212a70bbf5a3d31cac43bd8710a9,22 7F DA B1 81 05 3C D0 D2 BA 14 8A BA B3 C3 79,4
Columnar Transposition,3c4d4a47a690bd9a4730ec596eed953c,D7 0A 09 DC CA 6D 7C E5 34 AB 4E 69 44 99 35 E3,"['K', 'E', 'Y', '1']"
Columnar Transposition,3c4d4a47a690bd9a4730ec596eed953c,AC D5 B9 93 79 AC 4E 45 D0 C7 34 43 0D 6E A6 9E,"['K', 'E', 'Y', '2']"
Scytale,3c4d4a47a690bd9a4730ec596eed953c,34 AB 4E 69 CA 6D 7C E5 44 99 35 E3 D7 0A 09 DC,4
